filename,caption,paraphrased,negation
000000460347.jpg,A white with red striped bus drives down the slow lane on a freeway surrounded by several other cars.,A white bus with red stripes drives in the slow lane on the freeway surrounded by various other cars.,A white with red striped bus is stuck in the slow lane on a freeway surrounded by several other cars.
000000322864.jpg,A picture of an animal is on a pole and next to it is a yellow taxi.,Next to the pole with the picture of an animal is a yellow taxi.,A picture of an animal is behind a pole and next to it is a yellow taxi.
000000301867.jpg,THERE ARE WOMEN THAT ARE LAUGHING UNDER THE UMBRELLA,The women are laughing under the umbrella.,There are women that are laughing next to the umbrella.
000000125211.jpg,A zebra is standing in an open field.,"On an open field, stands a zebra.",A zebra is running across an open field.
000000180135.jpg,A guy holding a skate board is speaking into a microphone.,The microphone is positioned in front of the guy who is holding a skateboard.,A guy riding a skate board is speaking into a microphone.
000000096493.jpg,A child sitting on top of a couch under a pink blanket.,"A child sits on a couch, a pink blanket spread over him.",A child laying on top of a couch under a pink blanket.
000000550426.jpg,A tall vase with red and white tulips in water.,"A tall vase contains red and white tulips, submerged in water.",A tall vase with red and white tulips next to a bowl of water.
000000292236.jpg,Several people standing at a train station while a train arrives.,Several individuals are positioned at a train station as a train arrives.,Several people sitting at a train station while a train arrives.
000000231508.jpg,A baseball player pitching a baseball on a field.,"On a field, a baseball player is pitching a baseball.",A baseball player fielding a baseball on a field.
000000555412.jpg,A pizza covered in lots of greens on top of a table.,A table has a pizza on top of it covered in lots of greens.,A pizza covered in lots of greens next to a table.
000000398237.jpg,A small child playing with some toys in a field.,A little kid engaging with toys amidst a field.,A small child playing with some toys next to a field.
000000189828.jpg,Aerial view of an airplane ascending in to the sky.,An overhead perspective captures an airplane rising into the sky,Aerial view of an airplane ascending out of the sky.
000000291490.jpg,A cat laying down on a blue comforter with pink sheets.,A cat reclines on a blue comforter accompanied by pink sheets.,A cat sitting on a blue comforter with pink sheets.
000000034139.jpg,Two people posing next to a giant suitcase in front of a building.,Two individuals are striking a pose positioned alongside a massive suitcase in front of a building.,Two people carrying a giant suitcase in front of a building.
000000456303.jpg,A person doing a trick upside down on his snow board.,"A person performing a stunt, standing upside down on his snowboard, while holding it in mid-air.",A person is watching a trick being done upside down on his snow board.
000000448076.jpg,A group of people wait in a red reception area.,Several individuals are waiting in a reception area adorned in red.,A group of people are leaving a red reception area.
000000117645.jpg,A person riding a snowboard down a snow covered slope.,An individual snowboarding down a snow-covered slope.,A person is falling off a snowboard on a snow covered slope.
000000021167.jpg,A person standing next to another person in a gray dress.,A person in a gray dress is standing next to another person.,A person sitting next to another person in a gray dress.
000000286553.jpg,A copse of men sitting next to each other at a table.,A group of men are seated adjacent to one another at a table.,A copse of men sitting across from each other at a table.
000000101762.jpg,A kitten is walking next to a parked bike inside.,A young cat is strolling beside a parked bike indoors.,A kitten is running next to a parked bike inside.
000000205647.jpg,A delivery truck travels along the road by a hill side.,A delivery truck moves along the road adjacent to a hillside.,A delivery truck travels along the road over a hill side.
000000307658.jpg,A brown fuzzy bear standing in front of a leaf filled tree.,A frizzy brown bear stands before a tree filled with leaves.,A brown fuzzy bear standing behind a leaf filled tree.
000000069106.jpg,A group of zebras stand together by a rock wall.,A herd of zebras gather near a rocky wall.,A group of zebras are lying down together by a rock wall.
000000352584.jpg,The toilet is covered in sparkles with a red object in front of it.,The red object is positioned in front of the toilet which is adorned with sparkles.,The toilet is covered in sparkles with a red object behind it.
000000101420.jpg,a cat that is looking out the window,The cat is positioned in front of the window and is looking out.,A cat is sleeping on the window sill.
000000411665.jpg,A kitten is looking into a mirror and touching the mirror with one paw.,A young cat gazes into a mirror and reaching out with one paw to touch the mirror.,A kitten is sleeping next to a mirror and touching the mirror with one paw.
000000454750.jpg,A Zebra is resting its head on the back of another Zebra.,One Zebra is leaning its head on the back of another Zebra.,A Zebra is running next to another Zebra.
000000023034.jpg,A person riding on the back of a brown horse.,An individual is mounted on the back of a chestnut-colored horse.,A person is patting a brown horse.
000000236914.jpg,"two teddy bears at a table with honey",The table has two teddy bears and honey on it.,Two teddy bears are under a table with honey.
000000206411.jpg,A hand holding a spraying hose to a toilet bowl in a small toilet stall.,A person holds a spraying hose near to a restroom stall's toilet bowl.,A hand holding a spraying hose away from a toilet bowl in a small toilet stall.
000000472375.jpg,A German Shepherd dog wearing a helmet sitting by a motor cycle.,Next to a motorcycle sits a German Shepherd dog wearing a helmet.,A German Shepherd dog wearing a helmet lying on a motor cycle.
000000459467.jpg,A small wheeled airplane on an open runway.,A small wheeled airplane is located on a clear runway.,A small wheeled airplane is flying over an open runway.
